name,from,to,rating,Tv/Movie,Country Name,Time Duration,Genre,votes,reviews,Meta Score,Certificate,critics,creators,stars,popularity_rank,Popularity up or down
Underwater,2020,None,5.8,Movie,USA,1h 35min,horror,"41,913",721,48,None,220,William Eubank  ,Brian Duffield  Adam Cozad  ,109,-16
Doctor Sleep,2019,None,7.4,Movie,UK,2h 32min,horror,"105,702","1,194",59,None,341,Mike Flanagan  ,Mike Flanagan  ,123,-39
Alien,1979,None,8.4,Movie,UK,1h 57min,horror,"759,473","1,417",89,None,460,Ridley Scott  ,Dan O'Bannon  Dan O'Bannon  ,135,23
Fear the Walking Dead,2015,None,6.9,TV,USA,44min,horror,"106,462",828,None,TV-MA,71,Dave Erickson  Robert Kirkman  ,Kim Dickens  Frank Dillane  Cliff Curtis  ,218,9
Hannibal,2013,2015,8.5,TV,USA,44min,horror,"215,589",458,None,TV-14,109,Bryan Fuller  ,Hugh Dancy  Mads Mikkelsen  Caroline Dhavernas  ,219,23
The Wretched,2019,None,5.8,Movie,USA,1h 35min,horror,"3,569",82,61,Not Rated,97,Brett Pierce  Drew T. Pierce  ,Brett Pierce  ,143,-64
Hereditary,2018,None,7.3,Movie,USA,2h 7min,horror,"211,003","3,032",87,None,468,Ari Aster  ,,146,-16
Penny Dreadful,2014,2016,8.2,TV,Ireland,1h,horror,"107,949",267,None,TV-MA,68,John Logan  ,Josh Hartnett  Timothy Dalton  Eva Green  ,225,-22
It,2017,None,7.3,Movie,Canada,2h 15min,horror,"435,604","1,903",69,None,624,Andy Muschietti  ,Chase Palmer  Cary Joji Fukunaga  ,166,-17
Dorohedoro,2020,None,8.2,TV,Japan,25min,horror,"1,457",30,None,TV-MA,6,Wataru Takagi  Reina Kondou  Ken'yû Horiuchi  See full cast & crew  ,N  o  n  e  ,239,243
The Shining,1980,None,8.4,Movie,UK,2h 26min,horror,"856,463","1,787",66,R,353,Stanley Kubrick  ,Stephen King  Stanley Kubrick  ,175,-77
Get Out,2017,None,7.7,Movie,USA,1h 44min,horror,"462,563","1,554",85,None,729,Jordan Peele  ,,179,52
Locke & Key,2020,None,7.4,TV,Canada,48min,horror,"32,853",879,None,TV-14,57,Meredith Averill  Carlton Cuse  Aron Eli Coleite  ,Darby Stanchfield  Connor Jessup  Emilia Jones  ,252,-18
Halloween Kills,2020,None,None,Movie,USA,None,horror,None ,8,None,None,,David Gordon Green  ,John Carpenter  David Gordon Green  ,252,80
Legacies,2018,None,7.5,TV,USA,45min,horror,"15,835",321,None,TV-14,6,Julie Plec  ,Danielle Rose Russell  Aria Shahghasemi  Quincy Fouse  ,270,-10
Castle Rock,2018,None,7.6,TV,USA,1h,horror,"34,968",508,None,TV-MA,53,Sam Shaw  Dustin Thomason  ,Bill Skarsgård  André Holland  Melanie Lynskey  ,272,-37
Us,(201,None,6.9,TV,USA,1h 56min,horror,"201,713","3,020",81,None,519,Jordan Peele  ,,246,14
Chilling Adventures of Sabrina,2018,None,7.6,TV,USA,1h,horror,"66,202","1,121",None,TV-14,78,Roberto Aguirre-Sacasa  ,Kiernan Shipka  Ross Lynch  Lucy Davis  ,288,4
Dinosaurus!,1960,None,5.0,Movie,USA,1h 23min,horror,"1,234",48,None,Unrated,25,Irvin S. Yeaworth Jr.  ,Jack H. Harris  Dan E. Weisburd  ,251,"4,363"
What We Do in the Shadows,2014,None,7.7,Movie,New Zealand,1h 26min,horror,"146,602",337,76,None,305,Jemaine Clement  Taika Waititi  ,Jemaine Clement  ,262,-45
Psycho,1960,None,8.5,Movie,USA,1h 49min,horror,"578,087","1,256",97,R,227,Alfred Hitchcock  ,Joseph Stefano  ,266,-50
Zombieland: Double Tap,2019,None,6.7,Movie,USA,1h 39min,horror,"112,328",669,55,None,273,Ruben Fleischer  ,Rhett Reese  Paul Wernick  ,272,-47
Priest,2011,None,5.7,Movie,USA,1h 27min,horror,"112,370",269,41,None,201,Scott Stewart  ,Cory Goodman  ,278,"2,276"
The Addams Family,2019,None,5.8,Movie,Canada,1h 26min,horror,"20,972",275,46,None,163,Greg Tiernan  Conrad Vernon  ,Matt Lieberman  Matt Lieberman  ,280,"1,058"
A Quiet Place Part II,2020,None,None,Movie,USA,1h 37min,horror,None ,1 c,None,None,None,John Krasinski  ,Scott Beck  John Krasinski  ,292,-46
